カテゴリ: すべてのカテゴリ

週,Java: (日本)
2020-07-19,77
2020-07-26,93
2020-08-02,91
2020-08-09,52
2020-08-16,87
2020-08-23,85
2020-08-30,85
2020-09-06,84
2020-09-13,85
2020-09-20,57
2020-09-27,76
2020-10-04,80
2020-10-11,74
2020-10-18,79
2020-10-25,77
2020-11-01,62
2020-11-08,76
2020-11-15,76
2020-11-22,63
2020-11-29,78
2020-12-06,83
2020-12-13,78
2020-12-20,77
2020-12-27,33
2021-01-03,62
2021-01-10,64
2021-01-17,74
2021-01-24,75
2021-01-31,78
2021-02-07,63
2021-02-14,70
2021-02-21,56
2021-02-28,69
2021-03-07,66
2021-03-14,66
2021-03-21,64
2021-03-28,56
2021-04-04,75
2021-04-11,78
2021-04-18,91
2021-04-25,76
2021-05-02,49
2021-05-09,99
2021-05-16,97
2021-05-23,86
2021-05-30,83
2021-06-06,85
2021-06-13,85
2021-06-20,84
2021-06-27,79
2021-07-04,88
2021-07-11,82
2021-07-18,58
2021-07-25,69
2021-08-01,68
2021-08-08,51
2021-08-15,68
2021-08-22,65
2021-08-29,71
2021-09-05,71
2021-09-12,71
2021-09-19,51
2021-09-26,63
2021-10-03,68
2021-10-10,67
2021-10-17,75
2021-10-24,71
2021-10-31,66
2021-11-07,76
2021-11-14,78
2021-11-21,61
2021-11-28,72
2021-12-05,80
2021-12-12,85
2021-12-19,72
2021-12-26,40
2022-01-02,59
2022-01-09,70
2022-01-16,76
2022-01-23,78
2022-01-30,79
2022-02-06,76
2022-02-13,80
2022-02-20,71
2022-02-27,76
2022-03-06,73
2022-03-13,73
2022-03-20,67
2022-03-27,72
2022-04-03,74
2022-04-10,82
2022-04-17,100
2022-04-24,88
2022-05-01,56
2022-05-08,98
2022-05-15,99
2022-05-22,97
2022-05-29,85
2022-06-05,96
2022-06-12,91
2022-06-19,86
2022-06-26,78
2022-07-03,76
2022-07-10,73
2022-07-17,71
2022-07-24,73
2022-07-31,71
2022-08-07,55
2022-08-14,59
2022-08-21,67
2022-08-28,65
2022-09-04,67
2022-09-11,65
2022-09-18,50
2022-09-25,65
2022-10-02,69
2022-10-09,65
2022-10-16,75
2022-10-23,74
2022-10-30,63
2022-11-06,75
2022-11-13,76
2022-11-20,66
2022-11-27,70
2022-12-04,74
2022-12-11,72
2022-12-18,72
2022-12-25,48
2023-01-01,46
2023-01-08,63
2023-01-15,76
2023-01-22,75
2023-01-29,74
2023-02-05,75
2023-02-12,75
2023-02-19,65
2023-02-26,69
2023-03-05,70
2023-03-12,71
2023-03-19,62
2023-03-26,68
2023-04-02,67
2023-04-09,78
2023-04-16,86
2023-04-23,85
2023-04-30,45
2023-05-07,87
2023-05-14,87
2023-05-21,89
2023-05-28,76
2023-06-04,79
2023-06-11,80
2023-06-18,77
2023-06-25,73
2023-07-02,75
2023-07-09,80
2023-07-16,73
2023-07-23,78
2023-07-30,76
2023-08-06,63
2023-08-13,59
2023-08-20,73
2023-08-27,74
2023-09-03,74
2023-09-10,74
2023-09-17,70
2023-09-24,69
2023-10-01,75
2023-10-08,70
2023-10-15,80
2023-10-22,80
2023-10-29,67
2023-11-05,77
2023-11-12,76
2023-11-19,64
2023-11-26,73
2023-12-03,72
2023-12-10,67
2023-12-17,74
2023-12-24,56
2023-12-31,38
2024-01-07,64
2024-01-14,78
2024-01-21,76
2024-01-28,77
2024-02-04,81
2024-02-11,71
2024-02-18,68
2024-02-25,71
2024-03-03,83
2024-03-10,79
2024-03-17,68
2024-03-24,73
2024-03-31,74
2024-04-07,85
2024-04-14,92
2024-04-21,91
2024-04-28,62
2024-05-05,83
2024-05-12,99
2024-05-19,98
2024-05-26,94
2024-06-02,89
2024-06-09,87
2024-06-16,90
2024-06-23,79
2024-06-30,73
2024-07-07,77
2024-07-14,67
2024-07-21,75
2024-07-28,71
2024-08-04,72
2024-08-11,45
2024-08-18,68
2024-08-25,66
2024-09-01,66
2024-09-08,68
2024-09-15,67
2024-09-22,63
2024-09-29,67
2024-10-06,70
2024-10-13,60
2024-10-20,68
2024-10-27,64
2024-11-03,59
2024-11-10,67
2024-11-17,62
2024-11-24,62
2024-12-01,67
2024-12-08,67
2024-12-15,61
2024-12-22,52
2024-12-29,34
2025-01-05,58
2025-01-12,59
2025-01-19,64
2025-01-26,60
2025-02-02,61
2025-02-09,62
2025-02-16,63
2025-02-23,57
2025-03-02,57
2025-03-09,55
2025-03-16,51
2025-03-23,61
2025-03-30,60
2025-04-06,70
2025-04-13,71
2025-04-20,75
2025-04-27,56
2025-05-04,57
2025-05-11,73
2025-05-18,73
2025-05-25,72
2025-06-01,67
2025-06-08,69
2025-06-15,62
2025-06-22,57
2025-06-29,51
2025-07-06,54
2025-07-13,56
