カテゴリ: すべてのカテゴリ

週,花粉症: (日本)
2020-07-19,1
2020-07-26,1
2020-08-02,1
2020-08-09,1
2020-08-16,1
2020-08-23,1
2020-08-30,1
2020-09-06,1
2020-09-13,1
2020-09-20,2
2020-09-27,3
2020-10-04,2
2020-10-11,2
2020-10-18,2
2020-10-25,2
2020-11-01,1
2020-11-08,1
2020-11-15,1
2020-11-22,1
2020-11-29,1
2020-12-06,1
2020-12-13,1
2020-12-20,1
2020-12-27,1
2021-01-03,2
2021-01-10,2
2021-01-17,3
2021-01-24,5
2021-01-31,9
2021-02-07,12
2021-02-14,24
2021-02-21,74
2021-02-28,40
2021-03-07,34
2021-03-14,26
2021-03-21,14
2021-03-28,12
2021-04-04,7
2021-04-11,5
2021-04-18,5
2021-04-25,3
2021-05-02,3
2021-05-09,3
2021-05-16,2
2021-05-23,2
2021-05-30,2
2021-06-06,2
2021-06-13,1
2021-06-20,1
2021-06-27,1
2021-07-04,1
2021-07-11,1
2021-07-18,1
2021-07-25,1
2021-08-01,1
2021-08-08,1
2021-08-15,1
2021-08-22,1
2021-08-29,2
2021-09-05,2
2021-09-12,2
2021-09-19,2
2021-09-26,2
2021-10-03,2
2021-10-10,2
2021-10-17,3
2021-10-24,2
2021-10-31,2
2021-11-07,2
2021-11-14,2
2021-11-21,1
2021-11-28,1
2021-12-05,1
2021-12-12,1
2021-12-19,1
2021-12-26,1
2022-01-02,2
2022-01-09,2
2022-01-16,3
2022-01-23,5
2022-01-30,7
2022-02-06,7
2022-02-13,8
2022-02-20,11
2022-02-27,24
2022-03-06,36
2022-03-13,54
2022-03-20,22
2022-03-27,26
2022-04-03,22
2022-04-10,15
2022-04-17,9
2022-04-24,5
2022-05-01,5
2022-05-08,4
2022-05-15,4
2022-05-22,4
2022-05-29,3
2022-06-05,2
2022-06-12,2
2022-06-19,1
2022-06-26,1
2022-07-03,1
2022-07-10,1
2022-07-17,1
2022-07-24,1
2022-07-31,1
2022-08-07,1
2022-08-14,1
2022-08-21,1
2022-08-28,2
2022-09-04,2
2022-09-11,3
2022-09-18,2
2022-09-25,3
2022-10-02,3
2022-10-09,3
2022-10-16,3
2022-10-23,3
2022-10-30,3
2022-11-06,2
2022-11-13,2
2022-11-20,2
2022-11-27,1
2022-12-04,1
2022-12-11,1
2022-12-18,1
2022-12-25,2
2023-01-01,2
2023-01-08,4
2023-01-15,4
2023-01-22,4
2023-01-29,9
2023-02-05,12
2023-02-12,18
2023-02-19,34
2023-02-26,85
2023-03-05,100
2023-03-12,68
2023-03-19,34
2023-03-26,27
2023-04-02,20
2023-04-09,13
2023-04-16,7
2023-04-23,5
2023-04-30,5
2023-05-07,4
2023-05-14,4
2023-05-21,3
2023-05-28,2
2023-06-04,2
2023-06-11,2
2023-06-18,2
2023-06-25,1
2023-07-02,1
2023-07-09,1
2023-07-16,1
2023-07-23,1
2023-07-30,1
2023-08-06,1
2023-08-13,1
2023-08-20,1
2023-08-27,2
2023-09-03,2
2023-09-10,2
2023-09-17,2
2023-09-24,3
2023-10-01,4
2023-10-08,5
2023-10-15,5
2023-10-22,4
2023-10-29,3
2023-11-05,3
2023-11-12,2
2023-11-19,2
2023-11-26,2
2023-12-03,2
2023-12-10,2
2023-12-17,2
2023-12-24,1
2023-12-31,2
2024-01-07,3
2024-01-14,5
2024-01-21,5
2024-01-28,9
2024-02-04,9
2024-02-11,21
2024-02-18,24
2024-02-25,50
2024-03-03,33
2024-03-10,40
2024-03-17,39
2024-03-24,18
2024-03-31,17
2024-04-07,13
2024-04-14,11
2024-04-21,6
2024-04-28,5
2024-05-05,5
2024-05-12,4
2024-05-19,4
2024-05-26,3
2024-06-02,2
2024-06-09,2
2024-06-16,1
2024-06-23,1
2024-06-30,1
2024-07-07,1
2024-07-14,1
2024-07-21,1
2024-07-28,1
2024-08-04,1
2024-08-11,1
2024-08-18,1
2024-08-25,1
2024-09-01,1
2024-09-08,2
2024-09-15,2
2024-09-22,3
2024-09-29,2
2024-10-06,3
2024-10-13,4
2024-10-20,3
2024-10-27,2
2024-11-03,3
2024-11-10,2
2024-11-17,2
2024-11-24,2
2024-12-01,2
2024-12-08,2
2024-12-15,2
2024-12-22,1
2024-12-29,2
2025-01-05,3
2025-01-12,4
2025-01-19,9
2025-01-26,9
2025-02-02,9
2025-02-09,12
2025-02-16,14
2025-02-23,30
2025-03-02,37
2025-03-09,71
2025-03-16,46
2025-03-23,57
2025-03-30,18
2025-04-06,18
2025-04-13,10
2025-04-20,7
2025-04-27,5
2025-05-04,4
2025-05-11,4
2025-05-18,3
2025-05-25,3
2025-06-01,2
2025-06-08,2
2025-06-15,2
2025-06-22,1
2025-06-29,1
2025-07-06,1
2025-07-13,1
