カテゴリ: すべてのカテゴリ

週,ワクチン: (日本)
2020-07-19,2
2020-07-26,2
2020-08-02,2
2020-08-09,2
2020-08-16,2
2020-08-23,2
2020-08-30,2
2020-09-06,2
2020-09-13,2
2020-09-20,1
2020-09-27,2
2020-10-04,2
2020-10-11,2
2020-10-18,2
2020-10-25,3
2020-11-01,2
2020-11-08,3
2020-11-15,3
2020-11-22,3
2020-11-29,3
2020-12-06,4
2020-12-13,3
2020-12-20,2
2020-12-27,2
2021-01-03,3
2021-01-10,4
2021-01-17,7
2021-01-24,6
2021-01-31,6
2021-02-07,7
2021-02-14,11
2021-02-21,7
2021-02-28,6
2021-03-07,6
2021-03-14,6
2021-03-21,5
2021-03-28,6
2021-04-04,10
2021-04-11,14
2021-04-18,17
2021-04-25,22
2021-05-02,24
2021-05-09,42
2021-05-16,50
2021-05-23,43
2021-05-30,46
2021-06-06,44
2021-06-13,55
2021-06-20,59
2021-06-27,62
2021-07-04,64
2021-07-11,63
2021-07-18,52
2021-07-25,68
2021-08-01,78
2021-08-08,66
2021-08-15,90
2021-08-22,100
2021-08-29,83
2021-09-05,73
2021-09-12,56
2021-09-19,45
2021-09-26,44
2021-10-03,40
2021-10-10,32
2021-10-17,30
2021-10-24,24
2021-10-31,19
2021-11-07,18
2021-11-14,15
2021-11-21,12
2021-11-28,11
2021-12-05,9
2021-12-12,9
2021-12-19,14
2021-12-26,6
2022-01-02,10
2022-01-09,13
2022-01-16,16
2022-01-23,17
2022-01-30,21
2022-02-06,19
2022-02-13,21
2022-02-20,21
2022-02-27,24
2022-03-06,21
2022-03-13,20
2022-03-20,18
2022-03-27,19
2022-04-03,19
2022-04-10,19
2022-04-17,19
2022-04-24,15
2022-05-01,10
2022-05-08,13
2022-05-15,13
2022-05-22,13
2022-05-29,11
2022-06-05,10
2022-06-12,9
2022-06-19,8
2022-06-26,8
2022-07-03,10
2022-07-10,12
2022-07-17,16
2022-07-24,18
2022-07-31,16
2022-08-07,13
2022-08-14,12
2022-08-21,12
2022-08-28,11
2022-09-04,9
2022-09-11,9
2022-09-18,8
2022-09-25,10
2022-10-02,12
2022-10-09,16
2022-10-16,17
2022-10-23,18
2022-10-30,19
2022-11-06,24
2022-11-13,24
2022-11-20,18
2022-11-27,16
2022-12-04,14
2022-12-11,14
2022-12-18,11
2022-12-25,7
2023-01-01,7
2023-01-08,9
2023-01-15,8
2023-01-22,7
2023-01-29,6
2023-02-05,6
2023-02-12,5
2023-02-19,4
2023-02-26,4
2023-03-05,4
2023-03-12,4
2023-03-19,3
2023-03-26,4
2023-04-02,4
2023-04-09,4
2023-04-16,4
2023-04-23,5
2023-04-30,4
2023-05-07,5
2023-05-14,5
2023-05-21,5
2023-05-28,4
2023-06-04,4
2023-06-11,4
2023-06-18,4
2023-06-25,4
2023-07-02,3
2023-07-09,3
2023-07-16,2
2023-07-23,3
2023-07-30,3
2023-08-06,3
2023-08-13,3
2023-08-20,3
2023-08-27,3
2023-09-03,4
2023-09-10,5
2023-09-17,8
2023-09-24,7
2023-10-01,7
2023-10-08,7
2023-10-15,7
2023-10-22,7
2023-10-29,5
2023-11-05,6
2023-11-12,5
2023-11-19,4
2023-11-26,4
2023-12-03,4
2023-12-10,3
2023-12-17,3
2023-12-24,2
2023-12-31,2
2024-01-07,3
2024-01-14,3
2024-01-21,3
2024-01-28,3
2024-02-04,2
2024-02-11,2
2024-02-18,2
2024-02-25,2
2024-03-03,3
2024-03-10,6
2024-03-17,4
2024-03-24,3
2024-03-31,3
2024-04-07,2
2024-04-14,2
2024-04-21,2
2024-04-28,2
2024-05-05,2
2024-05-12,2
2024-05-19,2
2024-05-26,2
2024-06-02,2
2024-06-09,3
2024-06-16,2
2024-06-23,2
2024-06-30,2
2024-07-07,2
2024-07-14,3
2024-07-21,3
2024-07-28,3
2024-08-04,3
2024-08-11,3
2024-08-18,4
2024-08-25,4
2024-09-01,4
2024-09-08,4
2024-09-15,5
2024-09-22,6
2024-09-29,8
2024-10-06,5
2024-10-13,4
2024-10-20,5
2024-10-27,4
2024-11-03,4
2024-11-10,4
2024-11-17,3
2024-11-24,4
2024-12-01,3
2024-12-08,3
2024-12-15,3
2024-12-22,3
2024-12-29,1
2025-01-05,3
2025-01-12,2
2025-01-19,2
2025-01-26,2
2025-02-02,2
2025-02-09,2
2025-02-16,2
2025-02-23,2
2025-03-02,2
2025-03-09,2
2025-03-16,2
2025-03-23,3
2025-03-30,3
2025-04-06,2
2025-04-13,2
2025-04-20,2
2025-04-27,2
2025-05-04,2
2025-05-11,2
2025-05-18,2
2025-05-25,2
2025-06-01,2
2025-06-08,2
2025-06-15,2
2025-06-22,2
2025-06-29,2
2025-07-06,2
2025-07-13,2
