カテゴリ: すべてのカテゴリ

月,DBSCAN: (すべての国),k-means: (すべての国)
2004-01,0,60
2004-02,0,92
2004-03,0,61
2004-04,0,100
2004-05,0,76
2004-06,17,67
2004-07,0,61
2004-08,0,48
2004-09,0,60
2004-10,17,82
2004-11,0,70
2004-12,12,75
2005-01,0,63
2005-02,16,51
2005-03,9,81
2005-04,0,56
2005-05,10,77
2005-06,0,57
2005-07,0,37
2005-08,0,40
2005-09,11,53
2005-10,9,63
2005-11,18,58
2005-12,9,49
2006-01,12,44
2006-02,7,46
2006-03,8,53
2006-04,9,53
2006-05,8,54
2006-06,0,54
2006-07,6,36
2006-08,9,38
2006-09,7,42
2006-10,5,53
2006-11,8,51
2006-12,7,42
2007-01,6,39
2007-02,6,32
2007-03,7,46
2007-04,8,48
2007-05,0,52
2007-06,8,42
2007-07,7,40
2007-08,7,39
2007-09,8,38
2007-10,7,45
2007-11,8,44
2007-12,6,37
2008-01,6,40
2008-02,6,36
2008-03,5,30
2008-04,8,42
2008-05,4,36
2008-06,5,35
2008-07,4,34
2008-08,6,26
2008-09,3,30
2008-10,5,32
2008-11,7,40
2008-12,6,38
2009-01,5,34
2009-02,3,33
2009-03,5,39
2009-04,9,43
2009-05,5,38
2009-06,5,36
2009-07,5,28
2009-08,4,27
2009-09,4,28
2009-10,5,30
2009-11,6,39
2009-12,4,34
2010-01,5,30
2010-02,4,31
2010-03,4,36
2010-04,5,35
2010-05,5,36
2010-06,5,35
2010-07,4,27
2010-08,3,23
2010-09,2,28
2010-10,5,30
2010-11,5,31
2010-12,4,30
2011-01,3,27
2011-02,3,28
2011-03,4,30
2011-04,4,33
2011-05,5,31
2011-06,5,28
2011-07,3,24
2011-08,3,19
2011-09,3,21
2011-10,4,26
2011-11,5,33
2011-12,5,33
2012-01,3,25
2012-02,4,27
2012-03,4,29
2012-04,6,31
2012-05,6,31
2012-06,5,26
2012-07,3,24
2012-08,4,21
2012-09,4,23
2012-10,5,30
2012-11,4,32
2012-12,6,31
2013-01,4,26
2013-02,5,26
2013-03,5,29
2013-04,5,30
2013-05,6,30
2013-06,6,29
2013-07,5,24
2013-08,4,19
2013-09,4,22
2013-10,6,26
2013-11,7,33
2013-12,7,33
2014-01,5,25
2014-02,6,25
2014-03,8,30
2014-04,8,34
2014-05,7,33
2014-06,6,26
2014-07,5,23
2014-08,5,21
2014-09,5,24
2014-10,7,26
2014-11,8,32
2014-12,6,31
2015-01,5,23
2015-02,6,27
2015-03,8,30
2015-04,9,34
2015-05,8,34
2015-06,8,28
2015-07,8,23
2015-08,6,20
2015-09,6,24
2015-10,7,28
2015-11,10,34
2015-12,8,30
2016-01,8,24
2016-02,8,28
2016-03,9,31
2016-04,11,35
2016-05,11,33
2016-06,10,28
2016-07,8,24
2016-08,7,19
2016-09,8,23
2016-10,10,29
2016-11,13,37
2016-12,12,33
2017-01,11,30
2017-02,11,29
2017-03,15,34
2017-04,14,38
2017-05,15,33
2017-06,14,30
2017-07,11,25
2017-08,12,22
2017-09,11,23
2017-10,13,32
2017-11,15,40
2017-12,15,34
2018-01,14,30
2018-02,13,28
2018-03,16,32
2018-04,18,38
2018-05,19,35
2018-06,16,27
2018-07,15,25
2018-08,15,24
2018-09,14,27
2018-10,17,32
2018-11,19,34
2018-12,15,30
2019-01,15,25
2019-02,17,28
2019-03,19,30
2019-04,23,37
2019-05,23,32
2019-06,20,27
2019-07,20,26
2019-08,17,22
2019-09,18,25
2019-10,19,35
2019-11,20,35
2019-12,17,30
2020-01,17,26
2020-02,18,27
2020-03,19,28
2020-04,22,37
2020-05,22,35
2020-06,22,34
2020-07,20,28
2020-08,17,26
2020-09,17,27
2020-10,15,30
2020-11,16,30
2020-12,14,28
2021-01,14,22
2021-02,15,26
2021-03,16,29
2021-04,16,34
2021-05,16,32
2021-06,19,28
2021-07,16,27
2021-08,15,21
2021-09,14,24
2021-10,17,30
2021-11,20,36
2021-12,18,35
2022-01,22,41
2022-02,26,50
2022-03,28,51
2022-04,33,58
2022-05,32,55
2022-06,30,52
2022-07,26,39
2022-08,22,33
2022-09,22,39
2022-10,26,46
2022-11,35,53
2022-12,29,50
2023-01,27,43
2023-02,24,40
2023-03,27,43
2023-04,28,46
2023-05,33,54
2023-06,27,39
2023-07,24,32
2023-08,22,30
2023-09,22,33
2023-10,27,39
2023-11,30,47
2023-12,30,42
2024-01,24,33
2024-02,26,35
2024-03,30,42
2024-04,35,46
2024-05,34,46
2024-06,28,37
2024-07,26,31
2024-08,21,26
2024-09,24,32
2024-10,29,41
2024-11,34,42
2024-12,29,36
2025-01,25,28
2025-02,30,32
2025-03,30,36
2025-04,32,37
