No.     Time        Source                Destination           Protocol Length Info
    688 17.977035   192.168.12.66         10.144.0.1            DNS      84     Standard query 0x140f A detectportal.firefox.com
    689 17.979484   10.144.0.1            192.168.12.66         DNS      489    Standard query response 0x140f A detectportal.firefox.com CNAME detectportal.prod.mozaws.net CNAME prod.detectportal.prod.cloudops.mozgcp.net A 34.107.221.82 NS ns-cloud-e4.googledomains.com NS ns-cloud-e1.googledomains.com NS ns-cloud-e3.googledomains.com NS ns-cloud-e2.googledomains.com A 216.239.32.110 A 216.239.34.110 A 216.239.36.110 A 216.239.38.110 AAAA 2001:4860:4802:32::6e AAAA 2001:4860:4802:34::6e AAAA 2001:4860:4802:36::6e AAAA 2001:4860:4802:38::6e
    710 18.273600   192.168.12.66         10.144.0.1            DNS      71     Standard query 0xbc85 A mozilla.org
    711 18.274560   10.144.0.1            192.168.12.66         DNS      304    Standard query response 0xbc85 A mozilla.org A 44.236.48.31 A 44.235.246.155 A 44.236.72.93 NS ns7-66.akam.net NS ns1-240.akam.net NS ns4-64.akam.net NS ns5-65.akam.net A 184.85.248.65 A 193.108.91.240 A 84.53.139.64 A 96.7.49.66 AAAA 2600:1401:2::f0
    712 18.274845   192.168.12.66         10.144.0.1            DNS      71     Standard query 0x3aba A mozilla.org
    714 18.275518   10.144.0.1            192.168.12.66         DNS      304    Standard query response 0x3aba A mozilla.org A 44.236.48.31 A 44.235.246.155 A 44.236.72.93 NS ns7-66.akam.net NS ns1-240.akam.net NS ns4-64.akam.net NS ns5-65.akam.net A 184.85.248.65 A 193.108.91.240 A 84.53.139.64 A 96.7.49.66 AAAA 2600:1401:2::f0
    715 18.276111   192.168.12.66         10.144.0.1            DNS      84     Standard query 0xa2bf A detectportal.firefox.com
    716 18.276852   10.144.0.1            192.168.12.66         DNS      489    Standard query response 0xa2bf A detectportal.firefox.com CNAME detectportal.prod.mozaws.net CNAME prod.detectportal.prod.cloudops.mozgcp.net A 34.107.221.82 NS ns-cloud-e4.googledomains.com NS ns-cloud-e1.googledomains.com NS ns-cloud-e3.googledomains.com NS ns-cloud-e2.googledomains.com A 216.239.32.110 A 216.239.34.110 A 216.239.36.110 A 216.239.38.110 AAAA 2001:4860:4802:32::6e AAAA 2001:4860:4802:34::6e AAAA 2001:4860:4802:36::6e AAAA 2001:4860:4802:38::6e
    717 18.277491   192.168.12.66         10.144.0.1            DNS      84     Standard query 0xfdb4 A detectportal.firefox.com
    720 18.278186   10.144.0.1            192.168.12.66         DNS      489    Standard query response 0xfdb4 A detectportal.firefox.com CNAME detectportal.prod.mozaws.net CNAME prod.detectportal.prod.cloudops.mozgcp.net A 34.107.221.82 NS ns-cloud-e4.googledomains.com NS ns-cloud-e1.googledomains.com NS ns-cloud-e3.googledomains.com NS ns-cloud-e2.googledomains.com A 216.239.32.110 A 216.239.34.110 A 216.239.36.110 A 216.239.38.110 AAAA 2001:4860:4802:32::6e AAAA 2001:4860:4802:34::6e AAAA 2001:4860:4802:36::6e AAAA 2001:4860:4802:38::6e
    743 18.901046   192.168.12.66         10.144.0.1            DNS      95     Standard query 0x2777 A content-signature-2.cdn.mozilla.net
    744 18.903489   10.144.0.1            192.168.12.66         DNS      368    Standard query response 0x2777 A content-signature-2.cdn.mozilla.net CNAME d2nxq2uap88usk.cloudfront.net A 13.33.29.20 A 13.33.29.2 A 13.33.29.106 A 13.33.29.125 NS ns-1295.awsdns-33.org NS ns-365.awsdns-45.com NS ns-704.awsdns-24.net NS ns-1811.awsdns-34.co.uk A 205.251.197.15 A 205.251.194.192
    779 19.077282   192.168.12.66         10.144.0.1            DNS      97     Standard query 0xb487 A firefox.settings.services.mozilla.com
    781 19.079781   10.144.0.1            192.168.12.66         DNS      330    Standard query response 0xb487 A firefox.settings.services.mozilla.com A 99.86.193.95 A 99.86.193.125 A 99.86.193.83 A 99.86.193.91 NS ns-1364.awsdns-42.org NS ns-1627.awsdns-11.co.uk NS ns-166.awsdns-20.com NS ns-972.awsdns-57.net A 205.251.192.166 A 205.251.195.204
   1018 20.715609   192.168.12.66         10.144.0.1            DNS      85     Standard query 0xe902 A push.services.mozilla.com
   1019 20.718021   10.144.0.1            192.168.12.66         DNS      305    Standard query response 0xe902 A push.services.mozilla.com CNAME autopush.prod.mozaws.net A 35.163.208.27 NS ns-614.awsdns-12.net NS ns-377.awsdns-47.com NS ns-1260.awsdns-29.org NS ns-1986.awsdns-56.co.uk A 205.251.196.236 A 205.251.194.102
   1023 20.770565   192.168.12.66         10.144.0.1            DNS      85     Standard query 0xc06b A push.services.mozilla.com
   1024 20.771246   10.144.0.1            192.168.12.66         DNS      305    Standard query response 0xc06b A push.services.mozilla.com CNAME autopush.prod.mozaws.net A 35.163.208.27 NS ns-614.awsdns-12.net NS ns-377.awsdns-47.com NS ns-1260.awsdns-29.org NS ns-1986.awsdns-56.co.uk A 205.251.196.236 A 205.251.194.102
   1025 20.772946   192.168.12.66         10.144.0.1            DNS      85     Standard query 0x0761 A push.services.mozilla.com
   1026 20.773595   10.144.0.1            192.168.12.66         DNS      305    Standard query response 0x0761 A push.services.mozilla.com CNAME autopush.prod.mozaws.net A 35.163.208.27 NS ns-614.awsdns-12.net NS ns-377.awsdns-47.com NS ns-1260.awsdns-29.org NS ns-1986.awsdns-56.co.uk A 205.251.196.236 A 205.251.194.102
   1076 21.098356   192.168.12.66         10.144.0.1            DNS      77     Standard query 0xfe6b A ocsp.digicert.com
   1077 21.099169   10.144.0.1            192.168.12.66         DNS      373    Standard query response 0xfe6b A ocsp.digicert.com CNAME cs9.wac.phicdn.net A 117.18.237.29 NS ns3.phicdn.net NS ns1.phicdn.net NS ns4.phicdn.net NS ns2.phicdn.net A 72.21.80.5 A 72.21.80.6 A 192.229.254.5 A 192.229.254.6 AAAA 2606:2800:1::5 AAAA 2606:2800:1::6 AAAA 2606:2800:e::5 AAAA 2606:2800:e::6
   2622 34.946600   192.168.12.66         10.144.0.1            DNS      88     Standard query 0x2089 A www2b.comm.eng.osaka-u.ac.jp
   2623 34.947637   10.144.0.1            192.168.12.66         DNS      104    Standard query response 0x2089 A www2b.comm.eng.osaka-u.ac.jp A 192.168.13.80
   2639 35.055745   192.168.12.66         192.168.13.80         TCP      74     35516 → 80 [SYN] Seq=3906406002 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3543356595 TSecr=0 WS=128
   2640 35.056306   192.168.13.80         192.168.12.66         TCP      74     80 → 35516 [SYN, ACK] Seq=35308251 Ack=3906406003 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1939596895 TSecr=3543356595 WS=128
   2641 35.056438   192.168.12.66         192.168.13.80         TCP      66     35516 → 80 [ACK] Seq=3906406003 Ack=35308252 Win=64256 Len=0 TSval=3543356596 TSecr=1939596895
   2642 35.056808   192.168.12.66         192.168.13.80         HTTP     436    GET /~yoshiaki/C1/page1.html HTTP/1.1 
   2643 35.057355   192.168.13.80         192.168.12.66         TCP      66     80 → 35516 [ACK] Seq=35308252 Ack=3906406373 Win=64896 Len=0 TSval=1939596896 TSecr=3543356597
   2644 35.058177   192.168.13.80         192.168.12.66         HTTP     627    HTTP/1.1 200 OK  (text/html)
   2645 35.058247   192.168.12.66         192.168.13.80         TCP      66     35516 → 80 [ACK] Seq=3906406373 Ack=35308813 Win=64000 Len=0 TSval=3543356598 TSecr=1939596897
   2707 35.533754   192.168.12.66         192.168.13.80         HTTP     334    GET /favicon.ico HTTP/1.1 
   2708 35.534299   192.168.13.80         192.168.12.66         TCP      66     80 → 35516 [ACK] Seq=35308813 Ack=3906406641 Win=64640 Len=0 TSval=1939597373 TSecr=3543357073
   2709 35.534821   192.168.13.80         192.168.12.66         HTTP     572    HTTP/1.1 404 Not Found  (text/html)
   2710 35.534867   192.168.12.66         192.168.13.80         TCP      66     35516 → 80 [ACK] Seq=3906406641 Ack=35309319 Win=64000 Len=0 TSval=3543357075 TSecr=1939597373
   3222 40.534947   192.168.13.80         192.168.12.66         TCP      66     80 → 35516 [FIN, ACK] Seq=35309319 Ack=3906406641 Win=64640 Len=0 TSval=1939602374 TSecr=3543357075
   3223 40.535294   192.168.12.66         192.168.13.80         TCP      66     35516 → 80 [FIN, ACK] Seq=3906406641 Ack=35309320 Win=64128 Len=0 TSval=3543362075 TSecr=1939602374
   3224 40.535752   192.168.13.80         192.168.12.66         TCP      66     80 → 35516 [ACK] Seq=35309320 Ack=3906406642 Win=64640 Len=0 TSval=1939602374 TSecr=3543362075
